4352,500,3,965192909
3471,2193,4,973296868
2537,3504,5,974050663
3371,1343,3,967660671
5653,1304,3,958859622
4509,2288,4,965431624
2818,2010,3,972667840
2120,2427,4,974863169
4406,2116,4,965156089
5880,2329,4,958487806
78,3545,5,978570374
307,1228,5,976486174
4227,3688,5,965325000
935,3219,3,975182731
566,2550,2,976210591
4072,3498,5,965452798
2180,2011,5,974608509
4817,1527,4,962924300
4060,1073,5,965491825
1263,2433,3,974921031
601,3783,4,975882703
2472,2502,4,974252141
4771,471,4,968028997
4186,480,3,965327590
2786,39,4,973561274
4473,104,3,965066266
1600,3812,4,974755496
2665,126,4,974738915
2679,2571,3,973392225
123,2288,3,977529582
3300,3471,4,968034420
199,3469,5,976980325
3841,2181,4,966002956
4816,1784,5,966892906
847,3108,3,975354798
2554,3148,5,973999020
5682,588,3,1026870768
2181,1590,3,974612537
5450,223,4,965509932
911,1834,5,975259246
2684,17,4,974490212
2909,1953,5,971968627
1598,1019,4,974734258
2153,2959,5,1018394091
4827,2858,4,962908038
2748,2951,2,973208560
2995,2993,4,970692030
3591,1090,3,966643945
5077,457,4,963203594
1974,3683,4,974687300
752,508,5,975612638
2880,733,1,989099001
1899,2130,5,974694161
1489,3363,2,974760184
4539,34,1,964683199
4334,3704,1,965411033
3579,2699,4,966710783
3998,1990,2,965579170
4253,3359,4,965310693
3202,153,3,968574830
4408,2519,3,965162144
5182,356,5,961790215
5445,3030,3,959973146
3546,2968,2,967022881
4745,50,5,963249213
624,3308,3,975996856
1004,1376,4,975039933
5217,260,5,961552348
1861,457,4,974701026
891,1,5,975234143
2167,405,3,974612694
749,1389,3,1007969776
1074,2109,2,975200885
1607,535,4,974733478
1980,3578,4,974684263
5050,2396,5,968038227
5418,432,1,960186303
509,25,4,976207852
5470,3623,4,960253156
5483,3685,4,960225650
1645,1711,5,974979334
3328,150,5,967916076
3693,1356,4,966354965
1312,1573,4,974781912
1500,3210,4,988252368
716,1276,5,982879627
5658,2389,5,958808897
4238,1263,5,965417559
5636,1673,3,960524549
5582,1224,5,959283554
1377,2668,2,974769761
591,1136,4,975909019
4721,2581,3,963375436
329,3451,4,979766005
1120,2866,5,975537909
1569,3543,4,974739320
624,1347,3,975996890
5015,1394,5,962584612
2947,3007,5,1037739904
6011,2105,4,956783910
1285,3685,3,975458337
2718,1059,3,973287707
5930,11,5,957233433
5132,3260,5,1036270211
3993,2001,4,965589171
3539,103,3,966929708
2592,3471,4,973829048
1058,3354,2,974958519
1540,1073,3,974770076
454,2455,2,1025236797
667,1980,3,977090714
5157,965,5,962245552
1317,373,4,974782384
4823,2420,3,963174251
3690,3286,2,966308247
4329,2581,4,965243116
3895,3723,5,965784094
2122,2071,3,974646398
1218,446,4,976130270
198,1882,3,977091375
4808,3716,3,962943391
1648,1206,2,974712616
5708,426,3,958523560
770,818,1,975492359
4647,2966,5,963965050
4408,2174,3,965167495
5367,1268,3,960507068
4186,505,2,1020714040
4437,2676,3,965097421
3695,2174,4,966302467
4808,464,2,962954668
3667,3751,5,966384663
1581,2706,4,974750686
5061,2746,5,962483714
2994,2701,1,970709268
2748,2080,2,973208692
4673,2696,5,963759279
5083,3526,5,962467717
4760,2000,4,963101392
728,3308,3,975516063
6003,2112,4,956980556
408,1230,5,976288878
3841,1397,5,965998647
1149,2701,2,974869990
2781,1387,5,989598224
2244,849,1,974595743
2589,1213,4,973864586
1413,2028,3,974763386
5222,3248,2,1039069567
3018,3304,3,970507088
3965,1513,2,965668718
5910,1682,5,957373369
5014,2288,2,962588405
1996,919,5,974750971
855,2795,4,976426193
1425,3208,4,977590708
3886,1266,4,965808858
3346,3811,3,967776130
2232,2916,4,974596911
1333,2206,5,974850961
4064,2739,2,965477808
4182,1200,5,965329896
4826,1704,4,962919099
2700,2108,3,973305890
5015,157,3,962595845
3311,1605,1,968647212
3630,2890,4,966574598
2810,1023,4,972771967
4861,2762,3,962829478
1128,3142,3,975356189
263,21,5,976652129
1749,908,4,974842045
4543,1673,4,966029653
1941,900,3,974853556
2909,2764,5,971968269
4091,2380,1,965423579
1470,671,4,974838395
1746,1017,5,974849167
2957,1222,5,971196846
1281,1879,3,974793926
621,2987,3,975797689
5890,2022,4,957469278
1035,16,5,974993008
1666,2501,4,974710409
1361,3148,4,974771620
1306,2140,3,974786926
2015,2001,3,974674927
225,1094,4,976830714
2928,3267,5,971553532
4796,440,4,962987203
780,2474,3,975541615
1243,1223,4,994719785
2290,2815,3,974516957
1962,1614,3,975363130
4725,1036,4,963368496
5643,2420,2,958891358
4882,1186,3,962755548
62,2797,2,977928772
5880,2409,3,959871689
3312,1027,1,1022490620
1181,3948,3,974943704
2894,3452,5,971987713
2909,3259,3,971981964
5106,356,5,962334469
1029,1291,2,980038474
1321,3770,4,974778658
558,2396,5,976052648
2402,412,3,974260156
4691,3255,4,968972109
4229,2431,4,965312979
4725,3051,3,963364553
1284,164,4,974842181
4014,2840,4,965539647
1224,3201,5,974907724
1340,3745,2,1003659802
4591,1947,2,964325605
4617,527,5,964138192
4924,1300,4,962667519
2073,141,4,974671430
4985,2288,5,962593231
3423,1275,5,1022904199
4917,1371,3,962676786
2825,1296,5,972612877
355,2393,4,978499909
1717,2403,4,1024790597
58,1120,4,977940307
3031,3552,4,970410388
3965,61,4,965670327
3182,377,4,968772514
2233,2302,4,974597531
2922,1907,5,971649995
5289,1231,4,961081159
4386,1224,3,965242502
5961,3082,4,957023423
2029,3086,1,974681779
5656,3089,5,958835593
2199,3203,4,974606402
721,595,4,975777384
2307,161,5,975173943
3292,2001,3,968100078
1709,203,5,974710750
4581,2020,5,964379079
6010,2946,2,956856102
2995,2089,4,970696865
1298,991,4,974839046
2697,3219,4,973306944
1763,356,3,974701303
5305,1246,5,965541759
3309,514,3,967968626
731,788,4,975527781
5277,592,1,1020812229
5367,393,2,960500765
1699,1674,4,981323209
83,3174,4,977719522
3442,1882,2,967305885
5087,1270,5,962397116
1709,466,3,974715313
6000,2232,3,956880739
2544,3789,4,974049113
2665,1385,4,974232855
984,2497,2,975100925
3965,47,5,965669655
135,2881,2,977416888
4473,1304,4,965076246
4097,2890,4,965416037
1941,1620,4,974852200
5522,2894,3,960091252
1922,3698,3,974694950
2198,3210,2,974606730
975,2916,2,975120150
1100,1441,1,974926063
543,459,4,976121311
4750,2942,3,982159907
4802,2150,5,962941188
2233,17,1,974599021
3808,1227,4,965977084
5809,2761,5,957981158
4820,1203,5,962920287
4361,2640,3,966707377
4717,3738,3,963513259
3371,1231,2,967609928
2136,2355,4,974641737
3975,553,2,965667756
1080,3450,4,974943185
2041,1253,5,983032381
696,247,3,975561837
4447,2903,1,965174037
482,1916,4,976219815
3247,1210,5,968303882
2098,606,2,974654558
1663,2291,3,974711479
2414,1097,5,974917845
5984,1097,4,956907857
2909,593,5,971881486
5920,1234,3,957310775
188,3863,3,1011464274
2010,234,1,974682978
5535,1089,5,959581842
3847,2804,4,965882275
5482,441,4,959867133
5193,1923,4,969062581
3792,2673,3,970581722
1141,105,1,974876272
193,1784,3,1025573748
3129,1194,3,969365467
5074,3618,4,980996252
3569,370,3,968213689
847,2065,3,975354854
1966,1213,5,974685464
1354,3157,3,974774420
4959,308,5,962635132
4025,3909,3,975211914
3180,1968,2,968800647
3735,904,5,966920833
3965,1283,4,965669020
3688,1103,5,997304828
2513,342,4,974071439
3827,318,5,966130256
1464,3654,3,974758409
3760,2099,3,966095006
1059,265,5,974969866
5039,3529,1,962512779
1764,3893,4,974701383
798,2987,4,975407639
566,2140,3,977360640
3807,1732,3,970439229
444,3424,4,976240375
3181,923,5,968773018
948,2371,3,975162841
5161,1092,3,961908936
3167,1690,2,968814752
450,1997,5,976234940
3683,1969,1,966521443
3300,3685,5,968035948
5980,1374,5,956944263
1767,750,5,974704054
4156,303,3,965342249
2891,2763,3,972009574
3221,1918,4,968444006
1422,590,5,978467753
2402,3654,3,974262105
2454,3439,3,974234964
3579,2406,3,966710421
3031,527,5,970354806
1284,2763,4,974842427
4507,2648,4,964983414
2265,3,3,974580410
2504,3005,3,974085253
5111,1234,3,962426654
4167,2683,2,965333459
415,1321,4,977501792
2867,3322,4,972460837
3487,2329,4,967058943
2058,524,4,974663286
5795,1025,3,958146156
1034,2051,2,975111010
4040,2119,2,965505385
752,247,4,975459336
3504,3176,4,966981947
1063,214,3,980644308
2946,707,2,971276975
3311,710,1,967959907
2390,838,4,974297074
4085,2318,4,1043809240
4169,262,3,973309801
3481,50,5,967075468
4447,1831,2,965146935
770,20,2,976184516
1440,3147,2,974757941
1584,1676,4,975387690
1501,3341,3,987000318
1753,2699,4,974703085
963,2303,3,979952579
5886,2023,4,957485867
3626,3441,5,966609162
2070,529,5,992029255
5394,2947,4,1008712976
1925,407,4,974690270
1802,1982,4,974759101
4207,1959,5,965323333
2148,1885,4,974623834
3571,3510,5,966737745
1447,1092,2,981023631
4655,1755,4,963902910
3834,762,5,966406150
2009,290,5,974677216
5047,968,3,962496867
1181,1949,4,974948522
4579,2962,2,1026334547
5812,182,3,957942453
4287,2616,2,965278331
5852,3168,4,957756407
927,1198,5,975196082
1671,3421,2,974712351
3300,2109,4,969938483
4541,367,2,964674548
100,3702,2,977594113
3158,1374,4,968884169
2208,1597,2,974606694
4227,153,1,965323859
453,1254,5,993609461
5321,1639,4,960864814
4337,1610,5,965237959
704,2710,4,975548411
2026,3729,3,974724438
